AIRLINE2959,AIRLINE2959,"Ivoire Aero Services","","IVS","Ivory Coast",0
AIRLINE2958,AIRLINE2958,"Itek Air","GI","IKA","Kyrgyzstan",1
AIRLINE2957,AIRLINE2957,"Italy First","","IFS","Italy",0
AIRLINE2956,AIRLINE2956,"Itali Airlines","9X","ACL","Italy",0
AIRLINE2955,AIRLINE2955,"Istanbul Airlines","","IST","Turkey",0
AIRLINE2954,AIRLINE2954,"Israir","6H","ISR","Israel",1
AIRLINE2953,AIRLINE2953,"Israeli Air Force","","IAF","Israel",0
AIRLINE2952,AIRLINE2952,"Israel Aircraft Industries","","IAI","Israel",0
AIRLINE2951,AIRLINE2951,"Isles of Scilly Skybus","","IOS","United Kingdom",0
AIRLINE2950,AIRLINE2950,"Islena De Inversiones","WC","ISV","Honduras",1
AIRLINE17963,AIRLINE17963,"VG Airlines (IV)","","FVG","Belgium",0
AIRLINE2949,AIRLINE2949,"Isle Grande Flying School","","IGS","United States",0
AIRLINE2948,AIRLINE2948,"Islas Airways","IF","ISW","Spain",1
AIRLINE2947,AIRLINE2947,"Icebird Airline","","ICB","Iceland",0
AIRLINE2946,AIRLINE2946,"Islands Nationair","CN","","Papua New Guinea",0
AIRLINE2945,AIRLINE2945,"Islandair Jersey","","IAJ","United Kingdom",0
AIRLINE2944,AIRLINE2944,"Island Link","","ILC","Japan",0
AIRLINE2943,AIRLINE2943,"Island Helicopters","","MTP","United States",0
AIRLINE2942,AIRLINE2942,"Cargo Plus Aviation","8L","CGP","United Arab Emirates",1
AIRLINE2941,AIRLINE2941,"Island Express","2S","SDY","United States",0
AIRLINE2940,AIRLINE2940,"Island Aviation and Travel","","IOM","United Kingdom",0
AIRLINE17955,AIRLINE17955,"Air Engiadina-BRN","","RQX","Switzerland",0
AIRLINE2939,AIRLINE2939,"Island Aviation Services","","DQA","Maldives",0
AIRLINE2938,AIRLINE2938,"Island Aviation","","SOY","Philippines",0
AIRLINE2937,AIRLINE2937,"Island Airlines","IS","","United States",1
AIRLINE2936,AIRLINE2936,"Island Air Express","","XYZ","United States",0
AIRLINE2935,AIRLINE2935,"Island Air Charters","","ILF","United States",0
AIRLINE2934,AIRLINE2934,"Island Air","","ISI","Mexico",0
AIRLINE2933,AIRLINE2933,"Irving Oil Transport","","KCE","Canada",0
AIRLINE2932,AIRLINE2932,"Irving Oil","","XIA","Canada",0
AIRLINE2931,AIRLINE2931,"Irtysh Airlines","","IRT","Uzbekistan",0
AIRLINE2930,AIRLINE2930,"Irish Aviation Authority","","XMR","Ireland",0
AIRLINE2929,AIRLINE2929,"Irish Air Transport","","RDK","Ireland",0
