AIRPORT8043,AIRPORT8043,"Zhongwei Shapotou Airport","Zhongwei","China","ZHY","ZLZW"
AIRPORT2744,AIRPORT2744,"Mariquita Airport","Mariquita","Colombia",null,"SKQU"
AIRPORT8042,AIRPORT8042,"South Texas Regional Airport at Hondo","Hondo","United States","HDO","KHDO"
AIRPORT2743,AIRPORT2743,"El Embrujo Airport","Providencia","Colombia","PVA","SKPV"
AIRPORT2742,AIRPORT2742,"Antonio Narino Airport","Pasto","Colombia","PSO","SKPS"
AIRPORT2741,AIRPORT2741,"Guillermo León Valencia Airport","Popayan","Colombia","PPN","SKPP"
AIRPORT2740,AIRPORT2740,"Pitalito Airport","Pitalito","Colombia",null,"SKPI"
AIRPORT8039,AIRPORT8039,"Peine-Eddesse Airport","Peine","Germany",null,"EDVP"
AIRPORT8038,AIRPORT8038,"General Freire Airport","Curico","Chile",null,"SCIC"
AIRPORT2739,AIRPORT2739,"Matecaña International Airport","Pereira","Colombia","PEI","SKPE"
AIRPORT2738,AIRPORT2738,"German Olano Airport","Puerto Carreno","Colombia","PCR","SKPC"
AIRPORT2737,AIRPORT2737,"Puerto Bolívar Airport","Puerto Bolivar","Colombia",null,"SKPB"
AIRPORT8035,AIRPORT8035,"Allstedt Airport","Allstedt","Germany",null,"EDBT"
AIRPORT2736,AIRPORT2736,"Otu Airport","Otu","Colombia","OTU","SKOT"
AIRPORT8034,AIRPORT8034,"Republic Airport","Farmingdale","United States",null,"KFRG"
AIRPORT2735,AIRPORT2735,"Aguas Claras Airport","Ocana","Colombia","OCV","SKOC"
AIRPORT8033,AIRPORT8033,"Revelstoke Airport","Revelstoke","Canada","YRV","CYRV"
AIRPORT2734,AIRPORT2734,"Benito Salas Airport","Neiva","Colombia","NVA","SKNV"
AIRPORT8032,AIRPORT8032,"Golden Airport","Golden","Canada","YGE","CYGE"
AIRPORT2733,AIRPORT2733,"La Nubia Airport","Manizales","Colombia","MZL","SKMZ"
AIRPORT8031,AIRPORT8031,"Calgary / Springbank Airport","Calgary","Canada",null,"CYBW"
AIRPORT2732,AIRPORT2732,"Fabio Alberto Leon Bentley Airport","Mitu","Colombia","MVP","SKMU"
AIRPORT8030,AIRPORT8030,"Phoenix Deer Valley Airport","Phoenix ","United States","DVT","KDVT"
AIRPORT2731,AIRPORT2731,"Los Garzones Airport","Monteria","Colombia","MTR","SKMR"
AIRPORT2730,AIRPORT2730,"Baracoa Airport","Magangue","Colombia","MGN","SKMG"
AIRPORT8029,AIRPORT8029,"Radom Airport","RADOM","Poland","QXR","EPRA"
AIRPORT2729,AIRPORT2729,"Enrique Olaya Herrera Airport","Medellin","Colombia","EOH","SKMD"
AIRPORT2728,AIRPORT2728,"Alfredo Vásquez Cobo International Airport","Leticia","Colombia","LET","SKLT"
AIRPORT2727,AIRPORT2727,"Jorge Isaac Airport","La Mina","Colombia",null,"SKLM"
AIRPORT2726,AIRPORT2726,"Antonio Roldan Betancourt Airport","Carepa","Colombia","APO","SKLC"
AIRPORT2725,AIRPORT2725,"San Luis Airport","Ipiales","Colombia","IPI","SKIP"
AIRPORT2724,AIRPORT2724,"Perales Airport","Ibague","Colombia","IBE","SKIB"
AIRPORT2723,AIRPORT2723,"Guaymaral Airport","Guaymaral","Colombia",null,"SKGY"
AIRPORT2722,AIRPORT2722,"Juan Casiano Airport","Guapi","Colombia","GPI","SKGP"
AIRPORT2720,AIRPORT2720,"Santiago Vila Airport","Girardot","Colombia",null,"SKGI"
AIRPORT2719,AIRPORT2719,"Gustavo Artunduaga Paredes Airport","Florencia","Colombia","FLA","SKFL"
AIRPORT2718,AIRPORT2718,"Yariguíes Airport","Barrancabermeja","Colombia","EJA","SKEJ"
AIRPORT2717,AIRPORT2717,"Las Brujas Airport","Corozal","Colombia","CZU","SKCZ"
AIRPORT2716,AIRPORT2716,"La Florida Airport","Tumaco","Colombia","TCO","SKCO"
AIRPORT2715,AIRPORT2715,"Alfonso Bonilla Aragon International Airport","Cali","Colombia","CLO","SKCL"
AIRPORT2714,AIRPORT2714,"Rafael Nuñez International Airport","Cartagena","Colombia","CTG","SKCG"
AIRPORT2713,AIRPORT2713,"Camilo Daza International Airport","Cucuta","Colombia","CUC","SKCC"
AIRPORT2712,AIRPORT2712,"Gerardo Tobar López Airport","Buenaventura","Colombia","BUN","SKBU"
AIRPORT2711,AIRPORT2711,"José Celestino Mutis Airport","Bahia Solano","Colombia","BSC","SKBS"
AIRPORT2710,AIRPORT2710,"Ernesto Cortissoz International Airport","Barranquilla","Colombia","BAQ","SKBQ"
AIRPORT2709,AIRPORT2709,"El Dorado International Airport","Bogota","Colombia","BOG","SKBO"
AIRPORT8007,AIRPORT8007,"Itzehoe/Hungriger Wolf Airport","Itzehoe","Germany",null,"EDHF"
AIRPORT2708,AIRPORT2708,"Palonegro Airport","Bucaramanga","Colombia","BGA","SKBG"
AIRPORT8006,AIRPORT8006,"Landshut Airport","Landshut","Germany",null,"EDML"
AIRPORT2707,AIRPORT2707,"Las Flores Airport","El Banco","Colombia",null,"SKBC"
AIRPORT8005,AIRPORT8005,"Henry Tift Myers Airport","Tifton","United States","TMA","KTMA"
AIRPORT2706,AIRPORT2706,"Tres De Mayo Airport","Puerto Asis","Colombia","PUU","SKAS"
AIRPORT2705,AIRPORT2705,"El Eden Airport","Armenia","Colombia","AXM","SKAR"
